fight_id,fighter_a,fighter_b,predicted_prob_a,outcome_a,raw_delta,fight_date,close_flag,asof_frozen
mario-pinto-felipe-franco,Felipe Franco,Mario Pinto,0.3700,0,-0.151229,2026-03-21,0,0
mantas-kondratavicius-antonio-trocoli,Mantas Kondratavicius,Antonio Trocoli,0.9400,1,0.793205,2026-03-21,0,0
brando-pericic-louie-sutherland,Brando Pericic,Louie Sutherland,0.9200,1,0.710938,2026-03-21,0,0
abdul-kareem-al-selwady-shem-rock,Abdul-Kareem Al-Selwady,Shem Rock,0.5600,1,0.072832,2026-03-21,1,0
shanelle-dyer-ravena-oliveira,Ravena Oliveira,Shanelle Dyer,0.2700,0,-0.279551,2026-03-21,0,0
renato-moicano-chris-duncan,Renato Moicano,Chris Duncan,0.5400,1,0.040573,2026-04-04,1,1
virna-jandiroba-tabatha-ricci,Virna Jandiroba,Tabatha Ricci,0.5300,1,0.029909,2026-04-04,1,1
abdul-rakhman-yakhyaev-brendson-ribeiro,Brendson Ribeiro,Abdul Rakhman Yakhyaev,0.0500,0,-0.852188,2026-04-04,0,1
ethyn-ewing-rafael-estevam,Rafael Estevam,Ethyn Ewing,0.3800,0,-0.136614,2026-04-04,0,0
tommy-mcmillen-manolo-zecchini,Manolo Zecchini,Tommy McMillen,0.0700,0,-0.724679,2026-04-04,0,0
jose-delano-robert-ruchala,Robert Ruchala,Jose Delano,0.2000,0,-0.392505,2026-04-04,0,0
thomas-petersen-guilherme-pat,Thomas Petersen,Guilherme Pat,0.3400,1,-0.194316,2026-04-04,0,0
alessandro-costa-stewart-nicoll,Alessandro Costa,Stewart Nicoll,0.7000,1,0.245337,2026-04-04,0,1
darrius-flowers-lando-vannata,Darrius Flowers,Lando Vannata,0.3300,1,-0.197204,2026-04-04,0,1
alice-pereira-hailey-cowan,Hailey Cowan,Alice Pereira,0.4100,0,-0.099687,2026-04-04,1,0
tresean-gore-azamat-bekoev,Tresean Gore,Azamat Bekoev,0.4400,1,-0.066072,2026-04-04,1,1
dione-barbosa-melissa-gatto,Melissa Gatto,Dione Barbosa,0.4900,0,-0.014380,2026-04-04,1,1
kai-kamaka-iii-dakota-hope,Kai Kamaka III,Dakota Hope,0.5000,1,0.000000,2026-04-04,1,0
lone-er-kavanagh-brandon-moreno,Lone'er Kavanagh,Brandon Moreno,0.5400,1,0.040493,2026-02-28,1,1
david-martinez-marlon-vera,David Martinez,Marlon Vera,0.7200,1,0.263688,2026-02-28,0,1
king-green-daniel-zellhuber,Daniel Zellhuber,King Green,0.3300,0,-0.200453,2026-02-28,0,1
edgar-chairez-felipe-bunes,Edgar Chairez,Felipe Bunes,0.4800,1,-0.018533,2026-02-28,1,1
imanol-rodriguez-kevin-borjas,Imanol Rodriguez,Kevin Borjas,0.9600,1,0.883162,2026-02-28,0,0
santiago-luna-angel-pacheco,Angel Pacheco,Santiago Luna,0.4800,0,-0.025250,2026-02-28,1,0
ryan-gandra-jose-daniel-medina,Jose Daniel Medina,Ryan Gandra,0.0700,0,-0.728281,2026-02-28,0,0
ailin-perez-macy-chiasson,Ailin Perez,Macy Chiasson,0.6200,1,0.138062,2026-02-28,0,1
cristian-quinonez-kris-moutinho,Kris Moutinho,Cristian Quinonez,0.1200,0,-0.560983,2026-02-28,0,1
javier-reyes-douglas-silva-de-andrade,Javier Reyes,Douglas Silva de Andrade,0.9000,1,0.633047,2026-02-28,0,0
regina-tarin-ernesta-kareckaite,Ernesta Kareckaite,Regina Tarin,0.5000,0,0.000000,2026-02-28,1,0
francis-marshall-erik-silva,Erik Silva,Francis Marshall,0.5500,0,0.055156,2026-02-28,1,1
damian-pinas-wes-schultz,Damian Pinas,Wes Schultz,0.6800,1,0.211838,2026-02-28,0,0
manel-kape-brandon-royval,Manel Kape,Brandon Royval,0.5700,1,0.074719,2025-12-13,1,1
kevin-vallejos-giga-chikadze,Giga Chikadze,Kevin Vallejos,0.4800,0,-0.023873,2025-12-13,1,1
cezary-oleksiejczuk-cesar-almeida,Cesar Almeida,Cezary Oleksiejczuk,0.0900,0,-0.662031,2025-12-13,0,0
melquizael-costa-morgan-charriere,Morgan Charriere,Melquizael Costa,0.4300,0,-0.080496,2025-12-13,1,1
king-green-lance-gibson-jr,Lance Gibson Jr.,King Green,0.5000,0,0.000000,2025-12-13,1,0
yaroslav-amosov-neil-magny,Neil Magny,Yaroslav Amosov,0.5000,0,0.000000,2025-12-13,1,0
joanderson-brito-isaac-thomson,Isaac Thomson,Joanderson Brito,0.5000,0,0.000000,2025-12-13,1,0
steven-asplund-sean-sharaf,Sean Sharaf,Steven Asplund,0.0500,0,-0.846538,2025-12-13,0,0
luana-santos-melissa-croden,Melissa Croden,Luana Santos,0.6200,0,0.142014,2025-12-13,0,0
guilherme-pat-allen-frye-jr,Allen Frye Jr.,Guilherme Pat,0.5000,0,0.000000,2025-12-13,1,0
jamey-lyn-horth-tereza-bleda,Tereza Bleda,Jamey-Lyn Horth,0.4700,0,-0.039192,2025-12-13,1,1
aljamain-sterling-youssef-zalal,Aljamain Sterling,Youssef Zalal,0.5000,1,-0.000861,2026-04-25,1,1
joselyne-edwards-norma-dumont,Joselyne Edwards,Norma Dumont,0.4000,1,-0.111266,2026-04-25,1,1
rafa-garcia-alexander-hernandez,Alexander Hernandez,Rafa Garcia,0.4700,0,-0.038472,2026-04-25,1,1
davey-grant-adrian-luna-martinetti,Adrian Luna Martinetti,Davey Grant,0.6000,0,0.114809,2026-04-25,1,0
raoni-barcelos-montel-jackson,Montel Jackson,Raoni Barcelos,0.5400,0,0.048861,2026-04-25,1,1
ryan-spann-marcus-buchecha,Marcus Buchecha,Ryan Spann,0.5400,0,0.042179,2026-04-25,1,1
eric-mcconico-rodolfo-vieira,Eric McConico,Rodolfo Vieira,0.4700,1,-0.032214,2026-04-25,1,1
jackson-mcvey-sedriques-dumas,Sedriques Dumas,Jackson McVey,0.4700,0,-0.037740,2026-04-25,1,1
michelle-montague-mayra-bueno-silva,Mayra Bueno Silva,Michelle Montague,0.5300,0,0.033355,2026-04-25,1,0
cody-durden-jafel-filho,Cody Durden,Jafel Filho,0.4400,1,-0.073513,2026-04-25,1,1
francis-marshall-lucas-brennan,Lucas Brennan,Francis Marshall,0.5000,0,0.000000,2026-04-25,1,0
victor-valenzuela-max-griffin,Victor Valenzuela,Max Griffin,0.5000,1,0.000000,2026-04-25,1,0
talita-alencar-julia-polastri,Julia Polastri,Talita Alencar,0.4900,0,-0.006103,2026-04-25,1,1
sean-strickland-anthony-hernandez,Anthony Hernandez,Sean Strickland,0.5600,0,0.065702,2026-02-21,1,1
uros-medic-geoff-neal,Geoff Neal,Uros Medic,0.4300,0,-0.076539,2026-02-21,1,1
melquizael-costa-dan-ige,Melquizael Costa,Dan Ige,0.5900,1,0.103849,2026-02-21,1,1
